review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-4a7c7f1d3eb8,grahak le milcha bare sodheko cha,milcha,,,,,,
V3R-4ad0ac3240ed,branch ledger: module entry ra aayo baaki milaaune,aayo,,,,,,
V3R-4b640fd9c217,Do not mutate protected token URL-https://example.test/eval/v3-R006 inside the posting draft case 6 (synthetic url token),URL-https://example.test/eval/v3-R006,,,,,,
V3R-4b652a6c05e1,Create a draft dashboard and leave it unposted,dashboard,,,,,,
V3R-4b9794acc570,Do not transliterate the word allowance in this English sentence,allowance,,,,,,
V3R-4bb25af8ad54,check stamp once before posting — context unclear,stamp,,,,,,
V3R-4bb63391fa5e,check slip once before posting — context unclear,slip,,,,,,
V3R-4bc5b9edf70a,Enter Q4 code in the tax panel without Devanagari rewrite (acr case 11),Q4,,,,,,
V3R-4bd19814ec6b,Please update the group field in the English settings panel,group,,,,,,
V3R-4c2e198c3944,aaja hoina hisab milaaidim please,hoina,,,,,,
V3R-4c6c8d0ebf21,Customer Puja Acharya paid by bank transfer yesterday (name case 17),Puja,,,,,,
V3R-4ca7e6feeb41,Enter FIFO code in the tax panel without Devanagari rewrite (acr case 18),FIFO,,,,,,
V3R-4cb08b73a858,Customer Sita Devi paid by bank transfer yesterday (name case 1),Sita,,,,,,
V3R-4cbf26e5e7ea,Customer Gita Sharma paid by bank transfer yesterday (name case 28),Gita,,,,,,
V3R-4cc9841a6c9a,aaja list ko hisab milaaidim ra baaki clear gara,list,,,,,,
V3R-4cd0632f8246,Accounting staff asked about penalty settings in Ask MokXya,penalty,,,,,,
V3R-4ddd0845d1a8,please sabai update gardinu,sabai,,,,,,
V3R-4e185bd20dff,Do not transliterate the word sync in this English sentence,sync,,,,,,
V3R-4e92792c4df8,branch ledger: branch entry ra hunxa baaki milaaune,branch,,,,,,
V3R-4fa4580dd2ec,aaja agenda ko hisab milaaidim ra baaki clear gara,agenda,,,,,,
V3R-4fcc46fca828,bechyo ra paisa mismatch bhayo,bechyo,,,,,,
V3R-4fd7a962931b,Create a draft manager and leave it unposted,manager,,,,,,
V3R-4ff175042440,branch ledger: warehouse entry ra huncha baaki milaaune,huncha,,,,,,
V3R-5049943c243b,The markup status must remain pending until confirm,markup,,,,,,
V3R-5052301dc7c0,Please update the print field in the English settings panel,print,,,,,,
V3R-522d7ce79a35,aaja role ko hisab milaaidim ra baaki clear gara,role,,,,,,
V3R-52501e790b88,Do not mutate protected token ACC-SYN-100200-R072 inside the posting draft case 72 (synthetic account token),ACC-SYN-100200-R072,,,,,,
V3R-5281003852c2,please gayo update gardinu,gayo,,,,,,
V3R-5313b022fc6f,Create a draft warranty and leave it unposted,warranty,,,,,,
V3R-53167786efd7,check print once before posting — context unclear,print,,,,,,
V3R-5335f31ec2ea,alignment challenge 32: keep surface [﻿opening] intact (BOM prefix),﻿opening,,,,,,
V3R-5345a5f5fb8f,check alert once before posting — context unclear,alert,,,,,,
V3R-53b938933dc0,Please update the menu field in the English settings panel,menu,,,,,,
V3R-53d1be643314,grahak le ani bare sodheko cha,ani,,,,,,
V3R-543d0a111dd6,Accounting staff asked about cashflow settings in Ask MokXya,cashflow,,,,,,
V3R-5455f76f58ee,check right once before posting — context unclear,right,,,,,,
V3R-54796cd3fd67,Please update the account field in the English settings panel,account,,,,,,
V3R-54918211bdb6,branch ledger: capital entry ra bechyo baaki milaaune,bechyo,,,,,,
V3R-5496da2cefd1,Do not mutate protected token SERIAL-SN-V3-0001-R029 inside the posting draft case 29 (synthetic serial),SERIAL-SN-V3-0001-R029,,,,,,
V3R-54c022e8b35b,Please open the bank module and export the report,bank,,,,,,
V3R-552334cc43be,maybe lock means English UI or Romanized Nepali — reviewer must decide (case 36),lock,,,,,,
V3R-552ff79b52bb,bholi samma thik baaki clear garnu,thik,,,,,,
V3R-5556b7b77419,bholi samma aamdani baaki clear garnu,aamdani,,,,,,
V3R-55adbb8c597e,aaja stock hisab milaaidim please,stock,,,,,,
V3R-55c391f5cc14,check option once before posting — context unclear,option,,,,,,
V3R-56058cff707b,branch ledger: confirm entry ra ani baaki milaaune,ani,,,,,,
V3R-567ceec08514,Customer Kabita Limbu paid by bank transfer yesterday (name case 11),Kabita,,,,,,
V3R-569038f4fea6,check debit once before posting — context unclear,debit,,,,,,
V3R-56ccd25a3ac4,bholi samma tara baaki clear garnu,tara,,,,,,
V3R-56e47ee7c8c7,Please open the invoice module and export the report,invoice,,,,,,
V3R-575e761f909a,Do not transliterate the word logistics in this English sentence,logistics,,,,,,
V3R-5788de9fb79a,Keep unit as Latin identity for the ERP toolbar label,unit,,,,,,
V3R-5815c553ca61,Please update the flag field in the English settings panel,flag,,,,,,
V3R-5816865bddb7,aaja mail ko hisab milaaidim ra baaki clear gara,mail,,,,,,
V3R-582ec3615c0e,aaja download ko hisab milaaidim ra baaki clear gara,download,,,,,,
V3R-587877c77c73,yo lai last week ko ho,lai,,,,,,
V3R-58bf421fe3e4,branch ledger: provision entry ra pahila baaki milaaune,provision,,,,,,
V3R-58f4f5c33f91,Do not mutate protected token EMAIL-user.syn@example.test-R075 inside the posting draft case 75 (synthetic email token),EMAIL-user.syn@example.test-R075,,,,,,
V3R-59068d7e0749,Please update the mail field in the English settings panel,mail,,,,,,
V3R-591edc37a529,Please update the download field in the English settings panel,download,,,,,,
V3R-59331dfa08b8,check minute once before posting — context unclear,minute,,,,,,
V3R-5944c54744c8,Do not transliterate the word estimate in this English sentence,estimate,,,,,,
V3R-59498318675f,Please update the spread field in the English settings panel,spread,,,,,,
V3R-59836c46faf1,The reconcile status must remain pending until confirm,reconcile,,,,,,
V3R-59ae72b23ab8,check info once before posting — context unclear,info,,,,,,
V3R-59c5d53d71cd,please kinyo update gardinu,kinyo,,,,,,
V3R-5a3ba0f4f5e8,maybe pass means English UI or Romanized Nepali — reviewer must decide (case 38),pass,,,,,,
V3R-5a587ab63827,Please update the draft field in the English settings panel,draft,,,,,,
V3R-5b8bdb668e7a,check bill once before posting — context unclear,bill,,,,,,
V3R-5bdc16425b68,The liability status must remain pending until confirm,liability,,,,,,
V3R-5c075d5d0651,Enter Q1 code in the tax panel without Devanagari rewrite (acr case 38),Q1,,,,,,
V3R-5c74812767f7,Do not mutate protected token EMAIL-user.syn@example.test-R035 inside the posting draft case 35 (synthetic email token),EMAIL-user.syn@example.test-R035,,,,,,
V3R-5c799d402327,check folder once before posting — context unclear,folder,,,,,,
V3R-5c91cd6b1594,branch ledger: equity entry ra dinchu baaki milaaune,equity,,,,,,
V3R-5d1f0f915d01,The subtotal status must remain pending until confirm,subtotal,,,,,,
V3R-5d32a714b36d,yo cash last week ko ho,cash,,,,,,
V3R-5d595e79dcaf,yo maal last week ko ho,maal,,,,,,
V3R-5d5f24d55cea,Please update the error field in the English settings panel,error,,,,,,
V3R-5e0425d1411c,Please update the warranty field in the English settings panel,warranty,,,,,,
V3R-5e0a67326651,aaja mark ko hisab milaaidim ra baaki clear gara,mark,,,,,,
V3R-5e17a8145ffd,review shared surface id in mixed shop note before close,id,,,,,,
V3R-5e32b4b275cd,Do not mutate protected token PAN-A1B2C3D4E5-R030 inside the posting draft case 30 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R030,,,,,,
V3R-5e6d68d09d67,aaja base ko hisab milaaidim ra baaki clear gara,base,,,,,,
V3R-5e761b14d503,check mode once before posting — context unclear,mode,,,,,,
V3R-5eca937af471,Keep so as Latin identity for the ERP toolbar label,so,,,,,,
V3R-5eed13fc17f4,maybe sign means English UI or Romanized Nepali — reviewer must decide (case 26),sign,,,,,,
V3R-5ef1fad3e4bd,Keep annual as Latin identity for the ERP toolbar label,annual,,,,,,
V3R-5f2084697dde,review shared surface waybill in mixed shop note before close,waybill,,,,,,
V3R-5f7d465c0553,review shared surface serial in mixed shop note before close,serial,,,,,,
V3R-5fa582cc1f7b,alignment challenge 2: keep surface [﻿opening] intact (BOM prefix),﻿opening,,,,,,
V3R-5fe3fb6e2f45,bholi samma bujhe baaki clear garnu,bujhe,,,,,,
V3R-5fe6f679115f,please hapta update gardinu,hapta,,,,,,
V3R-601cf96ba503,alignment challenge 44: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-606795cff60a,check floor once before posting — context unclear,floor,,,,,,
V3R-60fbe08e8ded,branch ledger: configuration entry ra sabai baaki milaaune,configuration,,,,,,
V3R-61377e4614fe,Filter by sales then print the ledger summary,sales,,,,,,
V3R-619361ccf5c6,aaja hisab hisab milaaidim please,hisab,,,,,,
V3R-619d10b9c490,Create a draft daily and leave it unposted,daily,,,,,,
V3R-62cd8606639e,Do not mutate protected token TXN-SYN-778899-R044 inside the posting draft case 44 (synthetic transaction token),TXN-SYN-778899-R044,,,,,,
V3R-62d810ce2995,branch ledger: depreciation entry ra aba baaki milaaune,aba,,,,,,
V3R-632dec59fde8,hijo ko suna entry check gara,suna,,,,,,
V3R-634d0cc8e716,Do not mutate protected token SERIAL-SN-V3-0001-R079 inside the posting draft case 79 (synthetic serial),SERIAL-SN-V3-0001-R079,,,,,,
V3R-6369901c4747,Please update the check field in the English settings panel,check,,,,,,
V3R-6375dc1214f9,maybe bill means English UI or Romanized Nepali — reviewer must decide (case 1),bill,,,,,,
V3R-6391d9773651,check policy once before posting — context unclear,policy,,,,,,
V3R-6396e0fa67e3,alignment challenge 18: keep surface [½] intact (vulgar fraction),½,,,,,,
V3R-64292fc4ea02,malik ji noksan report pathaunuhos,noksan,,,,,,
V3R-64620d16468f,Filter by lot then print the ledger summary,lot,,,,,,
V3R-6469ebb8a6bb,Keep cancel as Latin identity for the ERP toolbar label,cancel,,,,,,
V3R-648bf4a80388,alignment challenge 1: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-64953302722a,maybe stock means English UI or Romanized Nepali — reviewer must decide (case 4),stock,,,,,,
V3R-64a9de351ee5,Do not mutate protected token TXN-SYN-778899-R014 inside the posting draft case 14 (synthetic transaction token),TXN-SYN-778899-R014,,,,,,
V3R-64b7c7c1eca1,aaja charge ko hisab milaaidim ra baaki clear gara,charge,,,,,,
V3R-652b5e134935,review shared surface premium in mixed shop note before close,premium,,,,,,
V3R-657b0ccf94f7,alignment challenge 42: keep surface [﻿opening] intact (BOM prefix),﻿opening,,,,,,
V3R-65c78d8dbead,branch ledger: receipt entry ra hijo baaki milaaune,hijo,,,,,,
V3R-65cb543c700e,branch ledger: contractor entry ra chha baaki milaaune,chha,,,,,,
V3R-65f49ceb711b,Customer Dipesh Rai paid by bank transfer yesterday (name case 10),Dipesh,,,,,,
V3R-6607a3e493d7,hijo ko linchu entry check gara,linchu,,,,,,
V3R-661e5932afe0,Customer Hari Krishna paid by bank transfer yesterday (name case 52),Hari,,,,,,
V3R-668e307f8b62,Customer Manish Regmi paid by bank transfer yesterday (name case 18),Manish,,,,,,
V3R-66ea6f2db041,Do not mutate protected token IMEI-356938035643809-R098 inside the posting draft case 98 (synthetic device id),IMEI-356938035643809-R098,,,,,,
V3R-67aae4a5a6c9,alignment challenge 26: keep surface [paisa…] intact (ellipsis),paisa…,,,,,,
V3R-6823d45c87b2,aaja lot ko hisab milaaidim ra baaki clear gara,lot,,,,,,
V3R-68522020e877,Enter DC code in the tax panel without Devanagari rewrite (acr case 16),DC,,,,,,
V3R-68b33bd778b7,bholi samma bholi baaki clear garnu,bholi,,,,,,
V3R-68f48924dca9,Please update the warning field in the English settings panel,warning,,,,,,
V3R-6912ed7dc0bc,branch ledger: invoice entry ra aaja baaki milaaune,invoice,,,,,,
V3R-693cf07d9a66,branch ledger: asset entry ra tireko baaki milaaune,asset,,,,,,
V3R-6970a2117c62,Do not mutate protected token INV-SYN-9001-R023 inside the posting draft case 23 (synthetic invoice token),INV-SYN-9001-R023,,,,,,
V3R-697e1545173f,Enter COGS code in the tax panel without Devanagari rewrite (acr case 23),COGS,,,,,,
V3R-698a84a414d0,branch ledger: closing entry ra sanga baaki milaaune,sanga,,,,,,
V3R-69e1217cdcb1,Do not transliterate the word fiscal in this English sentence,fiscal,,,,,,
V3R-69e84558cd96,maybe return means English UI or Romanized Nepali — reviewer must decide (case 17),return,,,,,,
V3R-69f6ec74f0d1,Do not mutate protected token INV-SYN-9001-R083 inside the posting draft case 83 (synthetic invoice token),INV-SYN-9001-R083,,,,,,
V3R-69f78eef84b0,Sync failed for return queue — retry after backup,return,,,,,,
V3R-6a45f7c2574b,alignment challenge 31: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-6a6347614d37,Enter PAN code in the tax panel without Devanagari rewrite (acr case 0),PAN,,,,,,
V3R-6ad489211d61,Sync failed for creditnote queue — retry after backup,creditnote,,,,,,
V3R-6afd5b4babba,aaja scan ko hisab milaaidim ra baaki clear gara,scan,,,,,,
V3R-6b61ba944da9,check hit once before posting — context unclear,hit,,,,,,
V3R-6bb1b89303f8,maybe charge means English UI or Romanized Nepali — reviewer must decide (case 13),charge,,,,,,
V3R-6c4b59ca4ae4,aaja bijuli hisab milaaidim please,bijuli,,,,,,
V3R-6c85f52b2617,grahak le kinabhane bare sodheko cha,kinabhane,,,,,,
V3R-6cbb95cc7d73,Please update the choice field in the English settings panel,choice,,,,,,
V3R-6ccf372cd4d4,Customer Gita Sharma paid by bank transfer yesterday (name case 53),Gita,,,,,,
V3R-6cf13dd89653,Customer Sarita Bhandari paid by bank transfer yesterday (name case 13),Sarita,,,,,,
V3R-6d9be03ca149,Please update the bill field in the English settings panel,bill,,,,,,
V3R-6e5a35ae7ad4,yo basnu last week ko ho,basnu,,,,,,
V3R-6e6da107ab24,Customer Hari Krishna paid by bank transfer yesterday (name case 2),Hari,,,,,,
V3R-6eac33162de1,aaja dinchu hisab milaaidim please,dinchu,,,,,,
V3R-6ec12d80dd86,aaja class ko hisab milaaidim ra baaki clear gara,class,,,,,,
V3R-6eff6ab66e42,Keep journal as Latin identity for the ERP toolbar label,journal,,,,,,
V3R-6effb9616c97,hajurko ra paisa mismatch bhayo,hajurko,,,,,,
V3R-6f00cec2b125,maybe bank means English UI or Romanized Nepali — reviewer must decide (case 3),bank,,,,,,
V3R-6f7c053b4c46,aaja line ko hisab milaaidim ra baaki clear gara,line,,,,,,
V3R-6f8e8954cfbb,aaja slip ko hisab milaaidim ra baaki clear gara,slip,,,,,,
V3R-7043bf168112,alignment challenge 34: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-70517dc5737e,Enter DC code in the tax panel without Devanagari rewrite (acr case 46),DC,,,,,,
V3R-706ad1b1c498,check balance once before posting — context unclear,balance,,,,,,
V3R-70b0aeb694d1,branch ledger: import entry ra aaunu baaki milaaune,aaunu,,,,,,
V3R-70b14ebeb5ad,Do not mutate protected token TXN-SYN-778899-R084 inside the posting draft case 84 (synthetic transaction token),TXN-SYN-778899-R084,,,,,,
V3R-713dee1bb2fb,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R097 inside the posting draft case 97 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R097,,,,,,
V3R-7145c2f0f310,grahak le phone bare sodheko cha,phone,,,,,,
V3R-717c55dcb715,branch ledger: godown entry ra bhayo baaki milaaune,godown,,,,,,
V3R-71ef803c28ba,aaja sheet ko hisab milaaidim ra baaki clear gara,sheet,,,,,,
V3R-7204c47334e0,Please update the mode field in the English settings panel,mode,,,,,,
V3R-72145812d33d,yo bhaneko last week ko ho,bhaneko,,,,,,
V3R-724815bd5bad,Do not mutate protected token SERIAL-SN-V3-0001-R099 inside the posting draft case 99 (synthetic serial),SERIAL-SN-V3-0001-R099,,,,,,
V3R-7254277b8459,Please update the key field in the English settings panel,key,,,,,,
V3R-726e6cdebea1,Please update the mark field in the English settings panel,mark,,,,,,
V3R-7288c35ac047,hijo ko haina entry check gara,haina,,,,,,
V3R-729c05f96e77,Accounting staff asked about barcode settings in Ask MokXya,barcode,,,,,,
V3R-72a03713076c,alignment challenge 49: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
V3R-730148f11e62,branch ledger: weekly entry ra malai baaki milaaune,weekly,,,,,,
V3R-730b1fda802d,malik ji rakha report pathaunuhos,rakha,,,,,,
V3R-732e5c016c2c,Accounting staff asked about expense settings in Ask MokXya,expense,,,,,,
V3R-734d4e72fd76,Customer Suresh Bhattarai paid by bank transfer yesterday (name case 41),Suresh,,,,,,
V3R-735f24aab5ce,Do not mutate protected token ACC-SYN-100200-R032 inside the posting draft case 32 (synthetic account token),ACC-SYN-100200-R032,,,,,,
V3R-737f844dfdc3,aaja field ko hisab milaaidim ra baaki clear gara,field,,,,,,
V3R-73f29ea70b4e,hijo ko huncha entry check gara,huncha,,,,,,
V3R-74e6c8c7525d,aaja ticket ko hisab milaaidim ra baaki clear gara,ticket,,,,,,
V3R-751002a6c809,Do not mutate protected token SERIAL-SN-V3-0001-R089 inside the posting draft case 89 (synthetic serial),SERIAL-SN-V3-0001-R089,,,,,,
V3R-752250fa309f,The receipt status must remain pending until confirm,receipt,,,,,,
V3R-75812d58e10b,Create a draft accrual and leave it unposted,accrual,,,,,,
V3R-759bcf7e4cef,Please update the value field in the English settings panel,value,,,,,,
V3R-75b2af4beb61,alignment challenge 33: keep surface [a​aja] intact (zero-width space),a​aja,,,,,,
V3R-75dd11e28a92,maybe check means English UI or Romanized Nepali — reviewer must decide (case 19),check,,,,,,
V3R-75e8fd685a4e,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R047 inside the posting draft case 47 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R047,,,,,,
V3R-7663177d6006,alignment challenge 39: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
V3R-769438ebd858,aaja tag ko hisab milaaidim ra baaki clear gara,tag,,,,,,
V3R-76b53d26f2f5,branch ledger: bonus entry ra baaki baaki milaaune,baaki,,,,,,
V3R-76b5baadbfc5,aaja pass ko hisab milaaidim ra baaki clear gara,pass,,,,,,
V3R-770ee667cb9f,check role once before posting — context unclear,role,,,,,,
V3R-773673f68df4,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R027 inside the posting draft case 27 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R027,,,,,,
V3R-77681e4a0dc9,branch ledger: cancel entry ra tara baaki milaaune,cancel,,,,,,
V3R-7793aee42088,check spread once before posting — context unclear,spread,,,,,,
V3R-77c987049987,Customer Mina Shrestha paid by bank transfer yesterday (name case 34),Mina,,,,,,
V3R-7a37b358e763,aaja select ko hisab milaaidim ra baaki clear gara,select,,,,,,
V3R-7a39247cf972,please cheque update gardinu,cheque,,,,,,
V3R-7a44effd43c1,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R087 inside the posting draft case 87 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R087,,,,,,
V3R-7a82b6753714,check ratecard once before posting — context unclear,ratecard,,,,,,
V3R-7ab0797e228b,Keep headquarters as Latin identity for the ERP toolbar label,headquarters,,,,,,
V3R-7ac7affc03a3,alignment challenge 9: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
V3R-7b0ae6690693,Enter PAN code in the tax panel without Devanagari rewrite (acr case 30),PAN,,,,,,
V3R-7b57d19b372a,maybe bag means English UI or Romanized Nepali — reviewer must decide (case 22),bag,,,,,,
V3R-7b607d5957eb,check filter once before posting — context unclear,filter,,,,,,
V3R-7b63c6871310,alignment challenge 24: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-7b81300d3134,Enter AR code in the tax panel without Devanagari rewrite (acr case 25),AR,,,,,,
V3R-7ba5b16e807d,Please update the entry field in the English settings panel,entry,,,,,,
V3R-7bfa670a1a85,Do not mutate protected token MOB-9800000001-R031 inside the posting draft case 31 (synthetic mobile token),MOB-9800000001-R031,,,,,,
V3R-7c5cd2558dc6,Do not mutate protected token IMEI-356938035643809-R018 inside the posting draft case 18 (synthetic device id),IMEI-356938035643809-R018,,,,,,
V3R-7c9f85662d9e,alignment challenge 3: keep surface [a​aja] intact (zero-width space),a​aja,,,,,,
V3R-7cc62065457d,alignment challenge 46: keep surface [paisa…] intact (ellipsis),paisa…,,,,,,
V3R-7cd929b94769,Filter by debit then print the ledger summary,debit,,,,,,
V3R-7cf85d540b6a,Please update the state field in the English settings panel,state,,,,,,
V3R-7cf92cd9638f,check query once before posting — context unclear,query,,,,,,
V3R-7d6fac732754,maybe page means English UI or Romanized Nepali — reviewer must decide (case 31),page,,,,,,
V3R-7dfabe067e7c,aaja warranty ko hisab milaaidim ra baaki clear gara,warranty,,,,,,
V3R-7e0c9abe839b,Enter GRN code in the tax panel without Devanagari rewrite (acr case 15),GRN,,,,,,
V3R-7ea31496e924,Please update the search field in the English settings panel,search,,,,,,
V3R-7ea560cd6fb9,alignment challenge 5: keep surface [“hisab”] intact (smart quotes),“hisab”,,,,,,
V3R-7ea9848e0614,bholi samma bhayo baaki clear garnu,bhayo,,,,,,
V3R-7eba3c68e20d,Filter by depreciation then print the ledger summary,depreciation,,,,,,
V3R-7f3ee63018c4,yo timro last week ko ho,timro,,,,,,
V3R-7f4360fa6211,branch ledger: export entry ra jaanu baaki milaaune,export,,,,,,
V3R-7f71bdf4408b,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R037 inside the posting draft case 37 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R037,,,,,,
V3R-7fb73476420f,check range once before posting — context unclear,range,,,,,,
V3R-7fd7ea0dea7d,grahak le dekhau bare sodheko cha,dekhau,,,,,,
V3R-7fe2478db328,grahak le jabaj bare sodheko cha,jabaj,,,,,,
V3R-800d6f909873,Create a draft INR and leave it unposted,INR,,,,,,
V3R-801e7467f345,Do not mutate protected token INV-SYN-9001-R003 inside the posting draft case 3 (synthetic invoice token),INV-SYN-9001-R003,,,,,,
V3R-8030828ee866,Do not mutate protected token MOB-9800000001-R011 inside the posting draft case 11 (synthetic mobile token),MOB-9800000001-R011,,,,,,
V3R-8063f89da11b,check sheet once before posting — context unclear,sheet,,,,,,
V3R-80763f657c01,Do not mutate protected token EMAIL-user.syn@example.test-R055 inside the posting draft case 55 (synthetic email token),EMAIL-user.syn@example.test-R055,,,,,,
V3R-8076bbc61ddb,Sync failed for report queue — retry after backup,report,,,,,,
V3R-80c520b4a58b,Do not transliterate the word grandtotal in this English sentence,grandtotal,,,,,,
V3R-80d026e3bb7c,Filter by grn then print the ledger summary,grn,,,,,,
V3R-80e9df8fed51,Do not mutate protected token EMAIL-user.syn@example.test-R095 inside the posting draft case 95 (synthetic email token),EMAIL-user.syn@example.test-R095,,,,,,
V3R-8119154395f6,Please update the cell field in the English settings panel,cell,,,,,,
V3R-814932aa7396,maybe box means English UI or Romanized Nepali — reviewer must decide (case 21),box,,,,,,
V3R-81d602b73ce5,check notice once before posting — context unclear,notice,,,,,,
V3R-82095b5cdace,Do not mutate protected token ACC-SYN-100200-R022 inside the posting draft case 22 (synthetic account token),ACC-SYN-100200-R022,,,,,,
V3R-821ee9123de9,Please open the delivery module and export the report,delivery,,,,,,
V3R-8223698e0849,Do not mutate protected token INV-SYN-9001-R033 inside the posting draft case 33 (synthetic invoice token),INV-SYN-9001-R033,,,,,,
V3R-8231c6323b1c,alignment challenge 11: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-82549543ff2a,Customer Kiran Joshi paid by bank transfer yesterday (name case 14),Kiran,,,,,,
V3R-825c89a5df17,Please update the floor field in the English settings panel,floor,,,,,,
V3R-82a1bbe5d149,Enter Q2 code in the tax panel without Devanagari rewrite (acr case 9),Q2,,,,,,
V3R-82e4856f579b,Customer Bimala Neupane paid by bank transfer yesterday (name case 23),Bimala,,,,,,
V3R-831b362f862b,branch ledger: office entry ra thiyo baaki milaaune,thiyo,,,,,,
V3R-83613d4c49a1,bholi samma beluka baaki clear garnu,beluka,,,,,,
V3R-8390c001bccf,branch ledger: salary entry ra udharo baaki milaaune,salary,,,,,,
V3R-83a5c5fb2758,Create a draft payroll and leave it unposted,payroll,,,,,,
V3R-83cc45d4e12d,grahak le sano bare sodheko cha,sano,,,,,,
V3R-83eda5bca46d,check field once before posting — context unclear,field,,,,,,
V3R-83f7820715fe,branch ledger: balance entry ra mahina baaki milaaune,mahina,,,,,,
V3R-840a12d086ae,please udharo update gardinu,udharo,,,,,,
V3R-840abb90c732,please rakha update gardinu,rakha,,,,,,
V3R-842d11a16b55,aaja key ko hisab milaaidim ra baaki clear gara,key,,,,,,
V3R-845dcabcbc95,malik ji beluka report pathaunuhos,beluka,,,,,,
V3R-847f553ecc2f,please malai update gardinu,malai,,,,,,
V3R-84881df9c500,aaja aru hisab milaaidim please,aru,,,,,,
V3R-84bb9f334394,Please update the status field in the English settings panel,status,,,,,,
V3R-84c84744e95c,Sync failed for reject queue — retry after backup,reject,,,,,,
V3R-850d5565d616,branch ledger: pending entry ra tyasari baaki milaaune,tyasari,,,,,,
V3R-85368464bb33,Please update the catalogue field in the English settings panel,catalogue,,,,,,
V3R-853bd319aa6a,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R017 inside the posting draft case 17 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R017,,,,,,
V3R-854a46342a77,check table once before posting — context unclear,table,,,,,,
V3R-85bf801e6fc6,Customer Nisha Tamang paid by bank transfer yesterday (name case 46),Nisha,,,,,,
V3R-861d534463ce,check form once before posting — context unclear,form,,,,,,
V3R-8663fa83665b,check duty once before posting — context unclear,duty,,,,,,
V3R-86970e8d1da7,branch ledger: inventory entry ra gara baaki milaaune,gara,,,,,,
V3R-86bd1358298a,Customer Anita Gurung paid by bank transfer yesterday (name case 55),Anita,,,,,,
V3R-86bdf28e7dbc,Enter SO code in the tax panel without Devanagari rewrite (acr case 44),SO,,,,,,
V3R-86da3382b87c,Please update the pricelist field in the English settings panel,pricelist,,,,,,
V3R-86de1523d307,alignment challenge 17: keep surface [NPR−100] intact (minus sign),NPR−100,,,,,,
V3R-8702bc3fe12b,kinabhane ra paisa mismatch bhayo,kinabhane,,,,,,
V3R-8764b95c57d8,aaja book ko hisab milaaidim ra baaki clear gara,book,,,,,,
V3R-87b5298ff7fe,aaja bag ko hisab milaaidim ra baaki clear gara,bag,,,,,,
V3R-88ff00fb5eb1,Please update the column field in the English settings panel,column,,,,,,
V3R-892a58309fa0,Please update the share field in the English settings panel,share,,,,,,
V3R-89cca5cd847b,Please open the salary module and export the report,salary,,,,,,
V3R-89fcfd546345,aaja match ko hisab milaaidim ra baaki clear gara,match,,,,,,
V3R-8abc28f16c75,maybe credit means English UI or Romanized Nepali — reviewer must decide (case 14),credit,,,,,,
V3R-8b403f9513de,review shared surface sku in mixed shop note before close,sku,,,,,,
V3R-8b411f364072,malik ji dokaan report pathaunuhos,dokaan,,,,,,
V3R-8b6bbcb92bb4,review shared surface deal in mixed shop note before close,deal,,,,,,
V3R-8b8f0d694fbe,Please update the link field in the English settings panel,link,,,,,,
V3R-8c0af34696ba,Do not mutate protected token INV-SYN-9001-R043 inside the posting draft case 43 (synthetic invoice token),INV-SYN-9001-R043,,,,,,
V3R-8c2da56f43b4,aayo ra paisa mismatch bhayo,aayo,,,,,,
V3R-8c2f594e7934,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R057 inside the posting draft case 57 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R057,,,,,,
V3R-8c31336b3bf8,Do not mutate protected token EMAIL-user.syn@example.test-R065 inside the posting draft case 65 (synthetic email token),EMAIL-user.syn@example.test-R065,,,,,,
V3R-8c40444b8620,aaja stock ko hisab milaaidim ra baaki clear gara,stock,,,,,,
V3R-8c44af45ea73,yo hijo last week ko ho,hijo,,,,,,
V3R-8c918cab4f98,Please update the class field in the English settings panel,class,,,,,,
